Fecha,Ahorro,Inversion,Jubilación,Deuda,Prestamo
noviembre 1 2016,"B/.	31,637.68","B/.	6,310.37",,B/.	0.00,"B/.	106,332.55"
diciembre 12 2016,"B/.	38,172.32","B/.	6,673.21",,B/.	0.00,"B/.	106,245.31"
enero 17 2017,"B/.	43,547.82","B/.	6,892.35",,"B/.	6,991.15","B/.	106,018.91"
marzo 20 2017,"B/.	41,040.63","B/.	7,620.01",,"B/.	3,952.99","B/.	105,597.11"
abril 21 2017,"B/.	40,898.72","B/.	8,094.81",,"B/.	3,044.50","B/.	105,403.16"
mayo 12 2017,"B/.	40,239.94","B/.	8,318.53",,"B/.	3,435.78","B/.	105,173.60"
junio 18 2017,"B/.	39,543.19","B/.	8,589.31",,"B/.	2,199.32","B/.	104,961.32"
julio 23 2017,"B/.	40,216.36","B/.	9,087.13",,"B/.	2,224.85","B/.	104,774.39"
agosto 14 2017,"B/.	43,775.35","B/.	9,328.88",,"B/.	2,129.83","B/.	104,656.95"
septiembre 12 2017,"B/.	46,146.10","B/.	9,762.25",,"B/.	2,142.95","B/.	104,451.98"
octubre 12 2017,"B/.	45,340.53","B/.	9,980.10",,"B/.	1,376.04","B/.	104,229.07"
noviembre 18 2017,"B/.	48,083.16","B/.	8,822.30",,"B/.	1,691.58","B/.	104,031.73"
diciembre 16 2017,"B/.	56,724.08","B/.	9,869.69",,"B/.	3,493.98","B/.	103,825.13"
enero 21 2018,"B/.	54,789.28","B/.	10,012.05",,"B/.	2,097.65","B/.	103,713.46"
febrero 28 2018,"B/.	55,209.50","B/.	10,426.27",,"B/.	2,036.56","B/.	103,504.81"
marzo 9 2018,"B/.	57,896.82","B/.	10,438.60",,"B/.	2,360.74","B/.	103,315.69"
abril 16 2018,"B/.	31,939.25","B/.	10,840.49",,"B/.	1,822.00","B/.	103,116.06"
mayo 18 2018,"B/.	13,742.81","B/.	11,085.39",,"B/.	1,109.72","B/.	102,915.84"
junio 18 2018,"B/.	15,509.02","B/.	11,350.90",,"B/.	2,122.10","B/.	102,543.84"
julio 17 2018,"B/.	18,105.16","B/.	11,762.73",,"B/.	3,586.44","B/.	102,124.88"
agosto 16 2018,"B/.	17,688.90","B/.	12,107.90",,"B/.	2,346.86","B/.	101,549.66"
septiembre 14 2018,"B/.	16,884.75","B/.	12,457.09",,"B/.	1,117.88","B/.	101,325.36"
octubre 12 2018,"B/.	19,028.41","B/.	12,819.62",,"B/.	1,632.94","B/.	100,567.69"
noviembre 16 2018,"B/.	19,256.68","B/.	13,334.79",,B/.	405.73,"B/.	100,248.53"
diciembre 14 2018,"B/.	20,340.67","B/.	15,429.79",,B/.	0.00,"B/.	99,550.04"
enero 14 2019,"B/.	21,307.23","B/.	15,862.02",,B/.	295.47,"B/.	235,789.45"
febrero 18 2019,"B/.	18,180.89","B/.	16,319.22",,"B/.	1,413.91","B/.	235,672.78"
marzo 15 2019,"B/.	15,608.79","B/.	16,476.47",,"B/.	2,401.32","B/.	235,131.14"
abril 15 2019,"B/.	14,781.68","B/.	16,800.26",,B/.	399.94,"B/.	234,708.46"
mayo 20 2019,"B/.	15,753.81","B/.	17,013.73",,B/.	366.58,"B/.	233,475.17"
junio 16 2019,"B/.	13,818.98","B/.	17,153.47",,B/.	327.81,"B/.	233,153.09"
julio 7 2019,"B/.	14,925.48","B/.	17,325.45",,B/.	3.60,"B/.	232,940.45"
agosto 16 2019,"B/.	18,856.10","B/.	17,454.50",,"B/.	1,817.72","B/.	232,597.13"
septiembre 13 2019,"B/.	17,571.04","B/.	17,769.11",,"B/.	1,157.26","B/.	231,686.74"
