Año	Mes		Neto	Total	Capital	Extra	interes	Mantenimiento	FECI	Gastos	Ingresos por Alquiler	Balance	Balance teórico 	Programa 10 años	Programa 15 años	Capital	Intereses	Pagado total	%	
				B/. 88,693.65		USD 21,100		USD 8,908.68	B/. 0		USD 63,095.86						B/. 21,918.82			
0		0										USD 108,000	USD 108,000		USD 108,000	USD 0	USD 0	USD 0		
1	abril 2016	1	USD 515.85	USD 524.41	USD 327.1	USD 0	USD 188.75	USD 97.76	USD 0	USD 8.56		USD 107,672.9	USD 107,812.11			USD 327.1	USD 188.75	USD 515.85	2.10 %	
	mayo 2016	2	USD 457.89	USD 524.41	USD 188.71	USD 0	USD 269.18	USD 97.76	USD 0	USD 66.52	USD 600	USD 107,484.19	USD 107,623.750275			USD 515.81	USD 457.93	USD 973.74	3.00 %	
	junio 2016	3	USD 457.89	USD 524.41	USD 233.96	USD 0	USD 223.93	USD 97.76	USD 0	USD 66.52	USD 600	USD 107,250.23	USD 107,434.919650688			USD 749.77	USD 681.86	USD 1,431.63	2.50 %	
	julio 2016	4	USD 457.89	USD 524.41	USD 154.02	USD 0	USD 303.87	USD 97.76	USD 0	USD 66.52	USD 600	USD 107,096.21	USD 107,245.616949814			USD 903.79	USD 985.73	USD 1,889.52	3.40 %	
	agosto 2016	5	USD 457.89	USD 524.41	USD 154.45	USD 0	USD 303.44	USD 97.76	USD 0	USD 66.52	USD 600	USD 106,941.76	USD 107,055.840992189			USD 1,058.24	USD 1,289.17	USD 2,347.41	3.40 %	
	septiembre 2016	6	USD 449.33	USD 524.41	USD 208.78	USD 0	USD 240.55	USD 97.76	USD 0	USD 75.08	USD 600	USD 106,732.98	USD 106,865.590594669			USD 1,267.02	USD 1,529.72	USD 2,796.74	2.70 %	
	octubre 2016	7	USD 457.89	USD 524.41	USD 182.27	USD 0	USD 275.62	USD 97.76	USD 0	USD 66.52	USD 600	USD 106,550.71	USD 106,674.864571156			USD 1,449.29	USD 1,805.34	USD 3,254.63	3.10 %	
	noviembre 2016	8	USD 457.89	USD 524.41	USD 218.16	USD 0	USD 239.73	USD 97.76	USD 0	USD 66.52	USD 600	USD 106,332.55	USD 106,483.661732584			USD 1,667.45	USD 2,045.07	USD 3,712.52	2.70 %	
	diciembre 2016	9	USD 335.35	USD 393.31	USD 87.24	USD 0	USD 248.11	USD 97.76	USD 0	USD 57.96	USD 600	USD 106,245.31	USD 106,291.980886915			USD 1,754.69	USD 2,293.18	USD 4,047.87	2.80 %	
	enero 2017	10	USD 580.43	USD 655.51	USD 226.4	USD 0	USD 354.03	USD 97.76	USD 0	USD 75.08	USD 600	USD 106,018.91	USD 106,099.820839133			USD 1,981.09	USD 2,647.21	USD 4,628.3	4.00 %	
	febrero 2017	11	USD 457.89	USD 524.41	USD 245.9	USD 0	USD 211.99	USD 97.76	USD 0	USD 66.52	USD 600	USD 105,773.01	USD 105,907.18039123			USD 2,226.99	USD 2,859.2	USD 5,086.19	2.40 %	
	marzo 2017	12	USD 457.89	USD 524.41	USD 175.9	USD 0	USD 281.99	USD 97.76	USD 0	USD 66.52	USD 600	USD 105,597.11	USD 105,714.058342208			USD 2,402.89	USD 3,141.19	USD 5,544.08	3.20 %	
2	abril 2017	13	USD 457.89	USD 524.41	USD 193.95	USD 0	USD 263.94	USD 97.76	USD 0	USD 66.52	USD 600	USD 105,403.16	USD 105,520.453488064			USD 2,596.84	USD 3,405.13	USD 6,001.97	3.00 %	
	mayo 2017	14	USD 457.89	USD 524.41	USD 229.56	USD 0	USD 228.33	USD 97.76	USD 0	USD 66.52	USD 600	USD 105,173.6	USD 105,326.364621784			USD 2,826.4	USD 3,633.46	USD 6,459.86	2.60 %	
	junio 2017	15	USD 466.45	USD 524.41	USD 212.28	USD 0	USD 254.17	USD 97.76	USD 0	USD 57.96	USD 600	USD 104,961.32	USD 105,131.790533339			USD 3,038.68	USD 3,887.63	USD 6,926.31	2.90 %	
	julio 2017	16	USD 449.33	USD 524.41	USD 186.93	USD 0	USD 262.4	USD 97.76	USD 0	USD 75.08	USD 600	USD 104,774.39	USD 104,936.730009672			USD 3,225.61	USD 4,150.03	USD 7,375.64	3.00 %	
	agosto 2017	17	USD 457.89	USD 524.41	USD 117.44	USD 0	USD 340.45	USD 97.76	USD 0	USD 66.52	USD 600	USD 104,656.95	USD 104,741.181834696			USD 3,343.05	USD 4,490.48	USD 7,833.53	3.90 %	
	septiembre 2017	18	USD 457.89	USD 524.41	USD 204.97	USD 0	USD 252.92	USD 97.76	USD 0	USD 66.52	USD 600	USD 104,451.98	USD 104,545.144789283			USD 3,548.02	USD 4,743.4	USD 8,242.02	2.90 %	
	octubre 2017	19	USD 466.44	USD 524.4	USD 222.91	USD 0	USD 243.53	USD 97.76	USD 0	USD 57.96	USD 600	USD 104,229.07	USD 104,348.617651256			USD 3,770.93	USD 4,986.93	USD 8,708.46	2.80 %	
	noviembre 2017	20	USD 457.89	USD 524.41	USD 197.34	USD 0	USD 260.55	USD 97.76	USD 0	USD 66.52	USD 600	USD 104,031.73	USD 104,151.599195384			USD 3,968.27	USD 5,247.48	USD 9,166.35	3.00 %	
	diciembre 2017	21	USD 449.33	USD 524.41	USD 206.6	USD 0	USD 242.73	USD 97.76	USD 0	USD 75.08	USD 600	USD 103,825.13	USD 103,954.088193373			USD 4,174.87	USD 5,490.21	USD 9,615.68	2.80 %	
	enero 2018	22	USD 490.89	USD 557.41	USD 111.67	USD 0	USD 379.22	USD 97.76	USD 0	USD 66.52	USD 600	USD 103,713.46	USD 103,766.40761727			USD 4,286.54	USD 5,869.43	USD 10,106.57	4.38 %	Aumento a 3.5%
	febrero 2018	23	USD 490.88	USD 557.4	USD 208.65	USD 0	USD 282.23	USD 97.76	USD 0	USD 66.52	USD 600	USD 103,504.81	USD 103,578.179639487			USD 4,495.19	USD 6,151.66	USD 10,597.45	3.27 %	
	marzo 2018	24	USD 490.88	USD 557.4	USD 189.12	USD 0	USD 301.76	USD 97.76	USD 0	USD 66.52	USD 600	USD 103,315.69	USD 103,389.402663436			USD 4,684.31	USD 6,453.42	USD 11,088.33	3.50 %	
3	abril 2018	25	USD 490.88	USD 557.4	USD 199.63	USD 0	USD 291.25	USD 97.76	USD 0	USD 66.52	USD 600	USD 103,116.06	USD 103,200.075087871			USD 4,883.94	USD 6,744.67	USD 11,579.21	3.38 %	
	mayo 2018	26	USD 490.88	USD 557.4	USD 200.22	USD 0	USD 290.66	USD 97.76	USD 0	USD 66.52	USD 600	USD 102,915.84	USD 103,010.195306877			USD 5,084.16	USD 7,035.33	USD 12,070.09	3.38 %	
	junio 2018	27	USD 721.98	USD 788.5	USD 272	USD 100	USD 349.98	USD 102.12	USD 0	USD 66.52	USD 600	USD 102,543.84	USD 102,819.761709855			USD 5,456.16	USD 7,385.31	USD 12,792.07	4.08 %	se depositaron 100.00 a capital el 26/6
	julio 2018	28	USD 618.35	USD 684.87	USD 168.96	USD 250	USD 199.39	USD 102.12	USD 0	USD 66.52	USD 600	USD 102,124.88	USD 102,628.772681509			USD 5,875.12	USD 7,584.7	USD 13,410.42	2.33 %	se depositaron 250.00 a capital el 23/7
	agosto 2018	29	USD 982.33	USD 1,057.41	USD 75.22	USD 500	USD 407.11	USD 102.12	USD 0	USD 75.08	USD 600	USD 101,549.66	USD 102,437.22660183			USD 6,450.34	USD 7,991.81	USD 14,392.75	4.78 %	se depositaron 500 a capital el 31/8
	septiembre 2018	30	USD 490.89	USD 557.41	USD 224.3	USD 0	USD 266.59	USD 102.12	USD 0	USD 66.52	USD 600	USD 101,325.36	USD 102,245.121846085			USD 6,674.64	USD 8,258.4	USD 14,883.64	3.15 %	
